,title,work experience,salary,region
1352,Инженер-программист,1–3 года,от 80 000 до 120 000 руб. на руки,
1353,Ведущий разработчик Qt/VTK,3–6 лет,,Тула
1354,Senior Software Engineer (DevOps) – Remote,более 6 лет,,Новосибирск
1355,Эксперт (разработчик),3–6 лет,,Москва
1356,Data engineer (Business Solutions),3–6 лет,,Москва
1357,Senior DevOps Engineer (Growth),3–6 лет,от 5 000 до 6 000 EUR на руки,Кипр
1358,Разработчик имитационных моделей в среде Anylogic,1–3 года,,
1359,Разработчик баз данных Oracle,3–6 лет,,Челябинск
1360,Старший инженер сопровождения разработки (DevOps),3–6 лет,,
1361,Преподаватель по курсам программирования,не требуется,от 20 000 до 50 000 руб. на руки,Севастополь
1362,Тестировщик,1–3 года,от 70 000 до 100 000 руб. на руки,Москва
1363,Разработчик ETL,3–6 лет,,Новосибирск
1364,WSS DOCS разработчик,1–3 года,,Москва
1365,Разработчик программного обеспечения (Ментор),1–3 года,,
1366,Devops инженер,1–3 года,от 240 000 руб. на руки,
1367,Тестировщик web-приложений,1–3 года,,
1368,Backend разработчик Node.js,3–6 лет,,
1369,Преподаватель IT-дисциплин,не требуется,,Москва
1370,Middle Full Stack developer,1–3 года,,
1371,Ведущий системный аналитик,3–6 лет,до 300 000 руб. на руки,
1372,DevOps Engineer,3–6 лет,,Армения
1373,Senior Marketing Analyst / Старший маркетинговый аналитик (Remote),3–6 лет,от 200 000 руб. на руки,
1374,"DevOps Engineer (Junior, Middle)",1–3 года,,Москва
1375,Embedded программист С++,1–3 года,,
1376,Senior DevOps Engineer - Automation (to Canada/Serbia),более 6 лет,,Санкт-Петербург
1377,Руководитель группы разработки,1–3 года,,Москва
1378,Data инженер,1–3 года,,
1379,Senior PHP Developer,3–6 лет,от 180 000 руб. на руки,
1380,Инженер-программист,1–3 года,,Санкт-Петербург
1381,Ведущий инженер-программист С++,3–6 лет,от 180 000 до 250 000 руб. на руки,
1382,Senior Product Analyst,3–6 лет,,
1383,Data engineer на продукт tNPS - измерение клиентского опыта (Big Data),3–6 лет,,
1384,Технический писатель (математик С++),1–3 года,,
1385,Разработчик ETL (Hadoop),3–6 лет,,
1386,Системный аналитик DWH,1–3 года,,Москва
1387,Инженер-программист,3–6 лет,от 100 000 до 100 000 руб. на руки,
1388,Senior Frontend Angular разработчик,более 6 лет,от 200 000 до 350 000 руб. на руки,
1389,BI Developer,3–6 лет,,Москва
1390,Data Scientist,1–3 года,,Тбилиси
1391,DevSecOps engineer,1–3 года,,Москва
1392,Руководитель направления/Lead ML RecSys,3–6 лет,,
1393,Automation QA Engineer (FinTech & BlockChain),1–3 года,,
1394,DevOps Engineer (to Cyprus),3–6 лет,,Кипр
1395,Аналитик продукта,1–3 года,,Тула
1396,ETL/DWH developer,3–6 лет,,
1397,Дежурный системный администратор (Linux\DevOps),1–3 года,,Москва
1398,Quantitative Researcher,1–3 года,,Москва
1399,Fullstack Quality Engineer Middle (MTC Travel),1–3 года,,
1400,Back-end разработчик,3–6 лет,от 140 000 руб. на руки,
1401,QA-тестировщик,1–3 года,,Бишкек
1402,Ведущий разработчик C++ (DPDK),более 6 лет,,Москва
1403,Data Scientist,1–3 года,,Химки
1404,Программист JavaScript,1–3 года,от 50 000 до 70 000 руб. на руки,
1405,Системный программист Linux,3–6 лет,,
1406,Animation Programmer / Программист анимации,1–3 года,,"Москва, Савёловская, Савёловская, Савёловская"
1407,Системный администратор Linux,1–3 года,,
1408,Scoring Team Lead,3–6 лет,,Москва
1409,Ведущий разработчик Qt/VTK,3–6 лет,,Москва
1410,Аналитик-программист / Аналитик BI (Веб-аналитик),1–3 года,,Екатеринбург
1411,Senior Java/Kotlin разработчик (eCom),3–6 лет,,
1412,Pipeline разработчик,3–6 лет,,
1413,Frontend разработчик (JavaScript; Vue),1–3 года,,
1414,Middle Data Analyst (Product Analyst),1–3 года,,Москва
1415,Разработчик Go,1–3 года,,Москва
1416,Senior Backend-разработчик C/Go,более 6 лет,,Москва
1417,DevOps инженер,1–3 года,,
1418,DevOps / Build / Release Engineer,3–6 лет,,
1419,"Разработчик golang, Ozon Fresh",1–3 года,,Москва
1420,Системный инженер (системный администратор),3–6 лет,от 100 000 до 130 000 руб. на руки,
1421,Программист микроконтроллеров / встраиваемых систем / Математик,не требуется,от 100 000 руб. на руки,
1422,Разработчик SQL,1–3 года,до 120 000 руб. на руки,
1423,Разработчик С/С++ (аналитик),3–6 лет,,
1424,Разработчик в команду робототехники Маркета,3–6 лет,,Москва
1425,Инженер DevOps,1–3 года,,Москва
1426,"Senior Tools Programmer (UE4, С++)",3–6 лет,,Санкт-Петербург
1427,Системный архитектор,3–6 лет,от 400 000 руб. на руки,
1428,Менеджер по управлению проектами разработки ПО,3–6 лет,,Москва
1429,Программист PHP,1–3 года,,
1430,Программист С++,1–3 года,,
1431,Системный программист по верификации ASIC,1–3 года,,
1432,Инженер по нагрузочному тестированию,1–3 года,,
1433,Аналитик в IT,не требуется,от 50 000 руб. на руки,
1434,DevOps инженер (Junior / Middle / Senior),1–3 года,,
1435,QA инженер / Тестировщик (remote),3–6 лет,от 50 000 до 150 000 руб. на руки,Санкт-Петербург
1436,QA-инженер,1–3 года,от 400 000 до 700 000 KZT на руки,
1437,TechLead Research Engineer (NLP/Speech),3–6 лет,от 300 000 до 400 000 руб. на руки,Москва
1438,Разработчик бэкенда в Путешествия,3–6 лет,,Сербия
1439,Senior pentest engineer (Relocation),3–6 лет,от 2 000 до 4 500 EUR на руки,Тбилиси
1440,"Инженер-программист (C++, Linux)",1–3 года,,Казань
1441,Программист встроенных систем (System/embedded SW developer),3–6 лет,,Санкт-Петербург
1442,Программист по обеспечению качества ПО,1–3 года,от 300 000 до 550 000 KZT на руки,
1443,Инженер по нагрузочному тестированию,3–6 лет,,
1444,Middle BI Developer,1–3 года,,Москва
1445,Разработчик DWH (Стрим Витрины ПИК),3–6 лет,,Санкт-Петербург
1446,Разработчик серверных приложений Oracle/PostgreSQL,3–6 лет,,
1447,Frontend-разработчик/стажер React/Svelte,не требуется,до 35 000 руб. на руки,Москва
1448,Cпециалист по машинному обучению и анализу данных,1–3 года,,Москва
1449,Системный администратор Linux,1–3 года,,
1450,Разработчик Golang,1–3 года,,
1451,Разработчик IoT решений (AWADA),3–6 лет,,
1452,Системный разработчик (С++),1–3 года,,
1453,Специалист поддержки (junior / middle level) / IT инженер / Middle Office Support Engineer (Murex),1–3 года,,Москва
1454,Антифрод-аналитик,1–3 года,,"Москва, Международная"
1455,Deep Learning and Computer Vision Engineer,3–6 лет,,Минск
1456,Системный аналитик,3–6 лет,,Москва
1457,Программист C/С++,1–3 года,от 80 000 руб. на руки,
1458,Программист,не требуется,от 28 000 до 30 000 руб. на руки,Томск
1459,Web-программист,1–3 года,,Казань
1460,Senior Java/Kotlin разработчик (eCom),3–6 лет,,Армения
1461,С++ разработчик картографической платформы,1–3 года,,Москва
1462,Data Engineer,1–3 года,,
1463,Системный архитектор / системный аналитик,3–6 лет,от 2 500 бел. руб. на руки,"Минск, Фрунзенская"
1464,Системный инженер в инфраструĸтурную группу (DevOps),1–3 года,,
1465,Junior QA automation инженер (Рекомендательная платформа),не требуется,,Москва
1466,Маркетинговый аналитик / UA Analyst,1–3 года,,
1467,Разработчик Android (Java),3–6 лет,,Москва
1468,Инженер-разработчик С++ (машинное зрение),1–3 года,,Санкт-Петербург
1469,Data engineer (Риск данные),1–3 года,,Москва
1470,ML/CV engineers for Image/Video enhancement tasks,не требуется,,
1471,DevOps инженер,1–3 года,,
1472,Разработчик DWH (Стрим Витрины ПИК),3–6 лет,,
1473,Инженер-программист 1 категории отдела верификации программного обеспечения,1–3 года,,
1474,TechLead Research Engineer (NLP/Speech),3–6 лет,от 300 000 до 400 000 руб. на руки,Санкт-Петербург
1475,Frontend - разработчик на проект DATAPK (angular),3–6 лет,,
1476,Программист C#,1–3 года,от 100 000 до 140 000 руб. на руки,
1477,Инженер-программист (Отдел по планшетным компьютерам),1–3 года,,
1478,Team Lead Data Scientist,3–6 лет,,Москва
1479,DevOps,1–3 года,,Москва
1480,DevOps Big Data platform,3–6 лет,,
1481,Senior QA Automation Engineer (Python/Swift),3–6 лет,,Астана
1482,Программист,не требуется,,
1483,Research Developer (Performance Analysis),3–6 лет,,
1484,Аналитик/системный архитектор,1–3 года,,
1485,Тестировщик отдела разработки,1–3 года,,
1486,Программист C++,1–3 года,до 130 000 руб. на руки,
1487,Инженер DevOps,3–6 лет,,Москва
1488,Системный программист Linux,1–3 года,,
1489,Application Security инженер (практика Container Security),1–3 года,,
1490,Senior Full Stack Developer for an IoT (In-ternet of Things) Platform,3–6 лет,,Ташкент
1491,Voip инженер (Asterisk),3–6 лет,от 150 000 до 200 000 руб. на руки,
1492,Начинающий Backend/Frontend - разработчик (стажер),не требуется,от 15 000 руб. на руки,
1493,"Flutter разработчик, Full stack",1–3 года,от 150 000 до 250 000 руб. на руки,Москва
1494,Инженер ПЛИС (Verilog/System Verilog),1–3 года,до 150 000 руб. на руки,
1495,"Flutter разработчик, Full stack",1–3 года,от 150 000 до 250 000 руб. на руки,Сочи
1496,Senior QA engineer / тестировщик ПО,3–6 лет,до 170 000 руб. на руки,Москва
1497,Администратор тестовых стендов (DevOps),1–3 года,,
1498,Инженер по тестированию сетевого оборудования.,3–6 лет,от 100 000 руб. на руки,Зеленоград
1499,"Руководитель группы разработки, Tech Lead команды (MTS AI)",более 6 лет,,
1500,QA Automation Engineer,1–3 года,,Сербия
1501,C# разработчик (middle / senior),3–6 лет,,Москва
1502,DevOps инженер,3–6 лет,,Москва
1503,Разработчик BI,1–3 года,,
1504,Инженер-программист (различных категорий) Отдела разработки программного обеспечения,1–3 года,,
1505,"Руководитель группы разработки, Tech Lead команды Audiogram (MTS AI)",более 6 лет,,
1506,Разработчик DWH / ETL,не требуется,,Москва
1507,Аналитик в команду внедрения ботов,1–3 года,,Москва
1508,Инженер-разработчик С++ (машинное зрение),1–3 года,,Казань
1509,DataBase Developer/BI Developer,1–3 года,,Минск
1510,Robotics Software Engineer,3–6 лет,,
1511,Разработчик на С++,3–6 лет,,Новосибирск
1512,DevOps Engineer,более 6 лет,,Тбилиси
1513,"Flutter разработчик, Full stack",1–3 года,от 150 000 до 250 000 руб. на руки,Санкт-Петербург
1514,Стажер-разработчик Java,не требуется,,
1515,Главный инженер-программист (Программист-разработчик нейронных сетей),1–3 года,,Самара
1516,C++ Linux Developer,3–6 лет,,
1517,DataBase Administrator (Минск),1–3 года,,Минск
1518,PHP Developer / PHP Разработчик,3–6 лет,от 150 000 до 300 000 руб. на руки,
1519,Математик-программист,3–6 лет,,Минск
1520,Системный аналитик DWH в Тинькофф Азия,1–3 года,,
1521,Senior PL/SQL разработчик,3–6 лет,,
1522,Senior QA Engineer (SQL),3–6 лет,,Москва
1523,Senior QA engineer (to Serbia/Canada),3–6 лет,,
1524,Ведущий инженер-программист С++,1–3 года,от 90 000 руб. на руки,
1525,Инженер по нагрузочному тестированию,1–3 года,,Таганрог
1526,Middle Javascript Vue UI/UX разработчик с навыками backend (node.js / nest.js),3–6 лет,от 140 000 до 250 000 руб. на руки,Москва
1527,DevOps-инженер (г.Подольск МО),3–6 лет,,Москва
1528,,,,
1529,DevOps Engineer,более 6 лет,,Армения
1530,Game Analyst / Игровой аналитик,1–3 года,,Санкт-Петербург
1531,Системный администратор Linux,1–3 года,от 80 000 до 120 000 руб. на руки,
1532,Unreal Engine Developer,3–6 лет,,Москва
1533,Разработчик BI,1–3 года,,
1534,Портфельный аналитик,1–3 года,,
1535,Data analyst Colombia,3–6 лет,,Москва
1536,Инженер верификации ASIC/FPGA,3–6 лет,от 150 000 руб. на руки,Москва
1537,Unreal Engine Developer,3–6 лет,,Санкт-Петербург
1538,DevOps specialist (Web Application Firewall),3–6 лет,,Москва
1539,TechLead Research Engineer (NLP/Speech),3–6 лет,от 300 000 до 400 000 руб. на руки,Иннополис
1540,Аналитик,1–3 года,,
1541,DevOps инженер (middle),1–3 года,от 100 000 руб. на руки,
1542,Senior DevOps Engineer (remote),3–6 лет,до 400 000 руб. на руки,Москва
1543,Ведущий инженер - программист С/С++,3–6 лет,,
1544,Senior QA Automation Test specialist (MTS AI),1–3 года,,
1545,Старший программист,1–3 года,,
1546,DWH Разработчик,1–3 года,,Москва
1547,DevOps-инженер,3–6 лет,,
1548,Инженер по нагрузочному тестированию,1–3 года,,
1549,Senior DevOps (НЛ),3–6 лет,до 400 000 руб. на руки,
1550,Go Developer (to Cyprus),3–6 лет,,Кипр
1551,Инженер-программист,1–3 года,,
1552,Наставник по программированию и робототехнике / преподаватель информатики,не требуется,,Москва
1553,Разработчик ядра СУБД,1–3 года,,Москва
1554,Старший инженер по тестированию UI/ Senior QA automation (JavaScript),1–3 года,,Москва
1555,Менеджер по сопровождению пентестов и уязвимостей в Отдел анализа защищенности,3–6 лет,,
1556,DevOps engineer,1–3 года,,Москва
1557,Системный аналитик DWH в Тинькофф Азия,1–3 года,,
1558,,,,
1559,Fullstack Middle/Senior Quality Engineer (MTS Travel),1–3 года,,Москва
1560,Инженер-программист,1–3 года,,
1561,QA Engineer/Инженер по тестированию (решения видеонаблюдения/CCTV),1–3 года,,Москва
1562,Начинающий системный администратор macOS / Linux,1–3 года,от 85 000 руб. на руки,Москва
1563,DevOps инженер,3–6 лет,,
1564,Software engineer,1–3 года,,Санкт-Петербург
1565,Site Reliability Engineer (to Canada/Serbia),более 6 лет,,Москва
1566,"Ведущий специалист по анализу данных в команду ""ДОМ"" (работа в РФ)",3–6 лет,,Москва
1567,Аналитик в команду внедрения ботов,1–3 года,,Санкт-Петербург
1568,Инженер по тестированию (программно-аппаратные комплексы),1–3 года,,
1569,Senior Linux/Unix engineer (American investment fund),более 6 лет,,Москва
1570,Веб-разработчик,1–3 года,,
1571,Senior DevOps Specialist,3–6 лет,,
1572,Middle Data Analyst (Product Analyst),1–3 года,,Екатеринбург
1573,Senior QA Engineer AI/ML (to Armenia / Portugal),1–3 года,,Москва
1574,Разработчик С++ (ISIM),3–6 лет,,
1575,Разработчик BI,1–3 года,,Москва
1576,Senior DevOps-инженер,3–6 лет,,Москва
1577,"Тестировщик / QA (специалист по автотестированию web, python)",3–6 лет,до 90 000 руб. на руки,Екатеринбург
1578,"Тестировщик / QA (специалист по автотестированию web, python)",3–6 лет,до 90 000 руб. на руки,Екатеринбург
1579,DataBase Administrator,1–3 года,,Санкт-Петербург
1580,"Тестировщик / QA (специалист по автотестированию web, python)",3–6 лет,до 90 000 руб. на руки,Томск
1581,DevOps Engineer at Cycode,3–6 лет,,Минск
1582,Разработчик BI,1–3 года,,
1583,Системный аналитик,1–3 года,,
1584,Программист компьютерного зрения middle,1–3 года,,
1585,Automation QA engineer Middle,1–3 года,,Ташкент
1586,Разработчик в тестировании/SDET (Java),3–6 лет,,Санкт-Петербург
1587,Senior Marketing Analyst / Старший маркетинговый аналитик,3–6 лет,от 200 000 руб. на руки,
1588,Старший системный аналитик,3–6 лет,,Москва
1589,Senior Linux/Unix engineer (American investment fund),3–6 лет,,Кипр
1590,Инженер-программист,1–3 года,,Санкт-Петербург
1591,Unreal Engine Developer,3–6 лет,,Нижний Новгород
1592,Fullstack Quality Engineer Senior MTC Travel,3–6 лет,,
1593,Разработчик BI,1–3 года,,Санкт-Петербург
1594,QA/Ручной тестировщик,1–3 года,,Москва
1595,Разработчик PostgreSQL,3–6 лет,,
1596,Team lead / Tech lead / Технический лидер,3–6 лет,,
1597,QA AI Driving Data,3–6 лет,,Москва
1598,QA инженер,1–3 года,,Москва
1599,Инженер-разработчик/программист,1–3 года,от 30 000 руб. на руки,
1600,QA/Ручной тестировщик,1–3 года,,Москва
1601,Разработчик PostgreSQL,3–6 лет,,
1602,Team lead / Tech lead / Технический лидер,3–6 лет,,
1603,QA AI Driving Data,3–6 лет,,Москва
1604,QA инженер,1–3 года,,Москва
1605,Инженер-разработчик/программист,1–3 года,от 30 000 руб. на руки,
1606,Senior JS Developer (Cyprus),3–6 лет,,Москва
1607,Ведущий инженер-программист,3–6 лет,,Санкт-Петербург
1608,Продуктовый аналитик GOGYM,1–3 года,,"Москва, Технопарк"
1609,Продуктовый аналитик в команду «Метамодель»,1–3 года,,
1610,Системный аналитик продукта Naumen SAM,1–3 года,,
1611,Automation QA engineer Middle,1–3 года,,Тбилиси
1612,Data Scientist,1–3 года,,Москва
1613,Product Owner in QA,более 6 лет,,Москва
1614,L1 operations engineer,1–3 года,,Оренбург
1615,DevOps инженер,3–6 лет,,Москва
1616,"QA Automation Senior Engineer (Remote, to Canada/USA)",3–6 лет,от 4 000 до 8 000 USD на руки,Москва
1617,Senior Game Designer (Economy & Balance),3–6 лет,,Санкт-Петербург
1618,Ведущий программист C/C++,1–3 года,,
1619,Разработчик C/C++,3–6 лет,,
1620,Инженер-разработчик С++ (машинное зрение),1–3 года,,Нижний Новгород
1621,Инженер по нагрузочному тестированию (Platform V),1–3 года,,
1622,Системный архитектор,3–6 лет,,Москва
1623,Разработчик облачного хранилища (Go),3–6 лет,,
1624,Lead DevOps Engineer,3–6 лет,,Москва
1625,Старший разработчик в отдел облачной инфраструктуры,более 6 лет,,Екатеринбург
1626,Инженер по тестированию (продукт Voice2Med),3–6 лет,,
1627,IT Database Engineer,более 6 лет,,Новосибирск
1628,Тестировщик ПО,3–6 лет,до 140 000 руб. на руки,"Москва, Марьина Роща"
1629,Инженер по сопровождению АС SAST/SALM,1–3 года,,Москва
1630,DevOps инженер,3–6 лет,,Санкт-Петербург
1631,Младший инженер по тестированию,не требуется,от 60 000 до 60 000 руб. на руки,
1632,Junior С++,1–3 года,,
1633,Инженер-программист,1–3 года,,Сестрорецк
1634,C# Developer,1–3 года,,
1635,Devops Engineer | SRE,1–3 года,,
1636,Системный аналитик DWH в Тинькофф Азия,1–3 года,,
1637,PHP-разработчик,1–3 года,,
1638,Backend-разработчик (бэкенд-разработчик),1–3 года,,
1639,Senior Java разработчик (Hospitality),3–6 лет,,
1640,Application security engineer,3–6 лет,,Москва
1641,Тестировщик Middle/Senior,3–6 лет,от 120 000 руб. на руки,
1642,Ведущий программист,1–3 года,,
1643,Разработчик бэкенда в Путешествия,3–6 лет,,Санкт-Петербург
1644,Data Scientist / Специалист по работе с искусственным интеллектом,1–3 года,,
1645,BIM-менеджер (ведущий разработчик информационных моделей),1–3 года,,
1646,Старший консультант BI/Разработчик Power BI,1–3 года,,Санкт-Петербург
1647,DevOps инженер собственной сборки,3–6 лет,,
1648,Senior JS Developer (Cyprus),3–6 лет,,Кипр
1649,Разработчик FPGA,1–3 года,,
1650,Инженер по тестированию / Software Tester (Unix),1–3 года,,"Санкт-Петербург, Горьковская"
1651,Аналитик отдела валидации,1–3 года,,
1652,DevOps инженер,3–6 лет,,"Москва, Новые Черемушки"
1653,,,,
1654,,,,
1655,Site Reliability Engineer (to Canada/Serbia),более 6 лет,,Санкт-Петербург
1656,Тестировщик мобильных разработок и электронных сервисов,1–3 года,,
1657,Системный администратор Linux/DevOps,3–6 лет,,
1658,Разработчик в тестировании/SDET (Java),3–6 лет,,Ульяновск
1659,DevOps Cloud Architect,более 6 лет,,
1660,QA Engineer (Feeds Team),1–3 года,,
1661,Разработчик бэкенда в Путешествия,3–6 лет,,Армения
1662,Тестировщик ПО/QA Инженер,1–3 года,,
1663,Программист - архитектор баз данных (Хранилище и BI),1–3 года,до 190 000 руб. на руки,
1664,Ведущий разработчик BI,3–6 лет,,Екатеринбург
1665,Middle/Senior Golang Developer,3–6 лет,,
1666,Системный программист ОС Linux серверных решений,3–6 лет,,
1667,Senior PHP Developer (to Cyprus),3–6 лет,от 4 500 EUR на руки,
1668,DevOps инженер,3–6 лет,,Казань
1669,Системный аналитик DWH в Тинькофф Азия,1–3 года,,
1670,SRE-инженер,3–6 лет,,Алматы
1671,Системный администратор/Devops,1–3 года,,
1672,Senior System Analyst,3–6 лет,,Москва
1673,Senior JS Developer (Cyprus),3–6 лет,,Санкт-Петербург
1674,Программист JavaScript (middle),1–3 года,,
1675,Инженер-программист,1–3 года,,Петрозаводск
1676,Аpplication security engineer,не требуется,,Москва
1677,Инженер-программист,1–3 года,,Рощино (Ленинградская область)
1678,Software Engineer/Программист,3–6 лет,,Нижний Новгород
1679,Программист / Разработчик алгоритмов торговли на бирже,1–3 года,от 120 000 руб. на руки,Уфа
1680,Аpplication security engineer,не требуется,,Москва
1681,Инженер-программист,1–3 года,,Рощино (Ленинградская область)
1682,Software Engineer/Программист,3–6 лет,,Нижний Новгород
1683,Программист / Разработчик алгоритмов торговли на бирже,1–3 года,от 120 000 руб. на руки,Уфа
1684,Senior Fraud Analyst,3–6 лет,,Минск
1685,Application security engineer,3–6 лет,,Санкт-Петербург
1686,Разработчик C++ в доставку почты (remote),3–6 лет,,Москва
1687,Fullstack Web-developer,3–6 лет,от 50 000 до 100 000 руб. на руки,
1688,Разработчик в тестировании/SDET (Java),3–6 лет,,Краснодар
1689,DevOps - инженер,3–6 лет,,
1690,QA Automation Engineer,1–3 года,,Армения
1691,Site Reliability Engineer (SRE) (USD),3–6 лет,,Новосибирск
1692,Системный аналитик (Графовая платформа),3–6 лет,,Москва
1693,Junior-Разработчик С/C++,1–3 года,,
1694,QA-инженер в команду эмуляции данных,3–6 лет,,Москва
1695,Разработчик бэкенда в Путешествия,3–6 лет,,Алматы
1696,"Программист-разработчик VBA Excel , г. Краснодар (офис)",не требуется,,
1697,,,,
1698,IT-Рекрутер,не требуется,,
1699,OLAP Developer,3–6 лет,,Москва
1700,Системный аналитик,3–6 лет,,
1701,Программист FullStack (PHP + SQL),1–3 года,,
1702,Senior Backend Developer (Go) Kubernetes,3–6 лет,,
1703,Разработчик алгоритмов баллистико-навигационного обеспечения,3–6 лет,,Москва
1704,Fullstack developer,3–6 лет,,Москва
1705,Разработчик в тестировании/SDET (Java),3–6 лет,,Казань
1706,DBA PostgreSQL/Администратор баз данных,1–3 года,,
1707,Разработчик СЭД DIRECTUM RX (C#),1–3 года,,
1708,Senior DevOps Engineer,более 6 лет,,
1709,Senior Linux engineer,3–6 лет,,Алматы
1710,Senior Data Analyst в Отдел контентной аналитики,3–6 лет,,
1711,Разработчик баз данных (Форсайт),3–6 лет,,Москва
1712,Системный аналитик DWH в Тинькофф Азия,1–3 года,,
1713,Senior Backend Developer for Basic Infrastructure Services (International Development Team),более 6 лет,,Москва
1714,Администратор баз данных (DBA) PostgreSQL,1–3 года,до 200 000 руб. на руки,
1715,Специалист по многомерной цифровой обработке сигнала (fiber sensor),3–6 лет,,
1716,Тимлид в команду низкоуровневой разработки внутреннего облака Яндекса,более 6 лет,,Москва
1717,Fullstack developer,3–6 лет,,Алматы
1718,PHP Full-stack Developer (middle),1–3 года,,
1719,Аналитик-разработчик Power BI,более 6 лет,,Москва
1720,Аналитик-разработчик Power BI,более 6 лет,,Москва
1721,Технический писатель,3–6 лет,,
1722,Senior Java разработчик,3–6 лет,,
1723,Разработчик бэкенда в Путешествия,3–6 лет,,Москва
1724,Senior Data Analyst в Отдел контентной аналитики,3–6 лет,,
1725,Инженер-программист C/C++ (C/C++ Embedded Junior/Middle Developer),1–3 года,,
1726,Information Security Officer,3–6 лет,,Москва
1727,DevOps инженер,3–6 лет,,Самара
1728,"Senior Full-stack Engineer, RAVE Tooling (Mapping Tools)",3–6 лет,,
1729,Руководитель группы разработки / Software Development Team Lead,3–6 лет,,
1730,Senior Product / Web Analyst,3–6 лет,,Тбилиси
1731,Инженер по нагрузочному тестированию,3–6 лет,,
1732,Senior Scoring Risk analyst Mexico,более 6 лет,,Москва
1733,Руководитель отдела разработки ПО,3–6 лет,,
1734,Senior System Analyst,3–6 лет,,Тбилиси
1735,C/C++ developer (PON),1–3 года,,
1736,Риск-технолог отдела кредитных технологий (разработчик стратегии SAS RTDM),1–3 года,,
1737,Scala/Java разработчик (Hadoop),1–3 года,,Челябинск
1738,PHP-разработчик (senior),3–6 лет,,Санкт-Петербург
1739,Старший QA-инженер,3–6 лет,,
1740,Программист в Технический блок,3–6 лет,,Алматы
1741,"Преподаватель IT дисциплин (Мытищи, Пушкино, Королёв)",не требуется,,Мытищи
1742,Senior System Analyst,3–6 лет,,Санкт-Петербург
1743,Системный аналитик,3–6 лет,,
1744,BI Разработчик,3–6 лет,,Москва
1745,System engineer (DevOps),3–6 лет,,Кипр
1746,Senior Automation Engineer (Automation Architect) to Armenia,1–3 года,,Москва
1747,ETL Разработчик-Консультант,3–6 лет,,Москва
1748,Junior Server System Administrator,1–3 года,,
1749,Веб-программист,1–3 года,от 45 000 до 70 000 руб. на руки,
1750,Программист компьютерного зрения senior,1–3 года,,
1751,Инженер по тестированию (речевая аналитика),1–3 года,,
1752,Senior Frontend developer (remote),более 6 лет,от 2 500 EUR на руки,Кипр
1753,Разработчик бэкенда в Путешествия,3–6 лет,,Екатеринбург
1754,Разработчик в тестировании/SDET (Java),3–6 лет,,Самара
1755,Fullstack Web Development Instructor,1–3 года,,Фергана
1756,Tech Lead (FMS),3–6 лет,,
1757,Site Reliability Engineer (SRE) / Software Engineer,3–6 лет,,Москва
1758,Разработчик ETL,3–6 лет,,Краснодар
1759,QA тестировщик Backend Full-Stack в Tinkoff Black,3–6 лет,,Санкт-Петербург
1760,Эксперт (разработчик MES-систем),3–6 лет,,Москва
1761,Преподаватель детской школы программирования,1–3 года,от 50 000 до 60 000 руб. на руки,
1762,Senior Data engineer,более 6 лет,,Москва
1763,"Старший аналитик, Поиск и Каталог",3–6 лет,,Москва
1764,Программист - разработчик/Fronted developer Angular,3–6 лет,от 150 000 до 250 000 руб. на руки,
1765,Backend Senior Team Lead (Руководитель разработки),3–6 лет,,
1766,Инженер Linux (команда Managed Services),1–3 года,,Санкт-Петербург
1767,PHP Developer / PHP-разработчик (senior),3–6 лет,,"Москва, Бутырская , Тимирязевская, Улица Милашенкова, Фонвизинская"
1768,DevOps Engineer,3–6 лет,,Астана
1769,Middle DevOps / Системный администратор,3–6 лет,,Москва
1770,Программист / ведущий проектов,1–3 года,от 100 000 руб. на руки,
1771,"DevOps (Linux) engineer, удаленно",3–6 лет,,Казань
1772,DevOps Engineer,3–6 лет,,
1773,Trainee .Net Developer,1–3 года,,Могилев
1774,Backend разработчик (PHP),1–3 года,,Санкт-Петербург
1775,Старший продуктовый аналитик (VK ID),1–3 года,,Санкт-Петербург
1776,Разработчик (GoLang),1–3 года,,
1777,Разработчик DWH,3–6 лет,,
1778,Аналоговый схемотехник (SerDes),более 6 лет,,
1779,Системный программист Си,1–3 года,,
1780,DevSecOps/Security engineer,1–3 года,,
1781,Аналитик в команду внедрения речевых технологий,1–3 года,,Москва
1782,Cпециалист по безопасной разработке (SecDevOps/DevSecOps),1–3 года,,
1783,Разработчик (GoLang),1–3 года,,
1784,Инженер эксплуатации ПО (devops),1–3 года,,Москва
1785,Программист - архитектор баз данных (Хранилище и BI),1–3 года,до 190 000 руб. на руки,
1786,Bitrix разработчик,1–3 года,от 90 000 руб. на руки,
1787,Аналитик (направление речевых технологий),1–3 года,,Санкт-Петербург
1788,Администратор баз данных MongoDB,1–3 года,до 200 000 руб. на руки,
1789,QA Lead,3–6 лет,,
1790,Senior Golang Developer (Hotcore),3–6 лет,,
1791,Тимлид в команду низкоуровневой разработки внутреннего облака Яндекса,более 6 лет,,Нижний Новгород
1792,Тимлид в команду низкоуровневой разработки внутреннего облака Яндекса,более 6 лет,,Нижний Новгород
1793,Lead DevOps Engineer,3–6 лет,,Астана
1794,Data Engineer,1–3 года,,Астана
1795,Программист С++,3–6 лет,,
1796,QA тестировщик Backend Full-Stack в Tinkoff Black,3–6 лет,,Москва
1797,QA Lead,3–6 лет,,
1798,Системный аналитик,1–3 года,,Москва
1799,Архитектор ПО / Tech lead,более 6 лет,,"Москва, Улица 1905 года"
